# BJD     Detrended data    Detrended data errors  Airmass   Original data   Original data errors    Model applied 
2458544.9268188       1.0006428       0.0011189            nan   3351.5344471      3.7475905   3349.3815308
2458544.9476929       1.0013354       0.0011171            nan   3353.6086855      3.7413567   3349.1362839
2458544.9685059       1.0002314       0.0011164            nan   3349.6673495      3.7387360   3348.8924046
2458544.9893188       1.0014782       0.0011158            nan   3353.5993481      3.7364873   3348.6494293
2458545.0101929       1.0001430       0.0011155            nan   3348.8866410      3.7352010   3348.4076634
2458545.0310059       1.0010562       0.0011128            nan   3351.7061653      3.7258265   3348.1698399
2458545.0518188       1.0004682       0.0011110            nan   3349.5049526      3.7196421   3347.9372978
2458545.0726929       0.9994433       0.0011151            nan   3345.8474787      3.7329711   3347.7110138
2458545.0935059       1.0000528       0.0011091            nan   3347.6711651      3.7127071   3347.4945030
2458545.1143188       0.9993662       0.0011091            nan   3345.1672965      3.7123244   3347.2888508
2458545.1351929       0.9987873       0.0011075            nan   3343.0368919      3.7068465   3347.0958710
2458545.1560059       0.9983634       0.0011044            nan   3341.4401659      3.6964902   3346.9178181
2458545.1768188       0.9978115       0.0011061            nan   3339.4315202      3.7018159   3346.7558575
2458545.1976929       0.9981050       0.0011029            nan   3340.2678593      3.6911246   3346.6095600
2458545.2185059       0.9971780       0.0011021            nan   3337.0364337      3.6880063   3346.4803562
2458545.2393188       0.9980738       0.0011026            nan   3339.9226567      3.6897656   3346.3683815
2458545.2601929       0.9976630       0.0011054            nan   3338.4520564      3.6989575   3346.2722397
2458545.2810059       1.0002356       0.0011018            nan   3346.9805745      3.6869159   3346.1921044
2458545.3018188       0.9997913       0.0011003            nan   3345.4278975      3.6817302   3346.1263714
2458545.3226929       1.0004993       0.0010989            nan   3347.7449238      3.6769757   3346.0743561
2458545.3435059       0.9995128       0.0010975            nan   3344.4050937      3.6722302   3346.0354195
2458545.3643188       1.0004794       0.0010964            nan   3347.6117457      3.6686698   3346.0076027
2458545.3851929       0.9995270       0.0010972            nan   3344.4088808      3.6711700   3345.9916096
2458545.4060059       0.9971534       0.0010991            nan   3336.4608863      3.6777183   3345.9854794
2458545.4268188       0.9999879       0.0010947            nan   3345.9485979      3.6627683   3345.9889183
2458545.4476929       0.9998581       0.0010936            nan   3345.5251909      3.6592775   3346.0001278
2458545.4685059       1.0021079       0.0010930            nan   3353.0718021      3.6572408   3346.0188580
2458545.4893188       0.9994785       0.0010931            nan   3344.2987382      3.6574129   3346.0438385
2458545.5101929       0.9997049       0.0010933            nan   3345.0875503      3.6581838   3346.0749912
2458545.5310059       0.9991283       0.0010917            nan   3343.1949406      3.6530865   3346.1118679
2458545.5518188       0.9999688       0.0010918            nan   3346.0494051      3.6534857   3346.1537953
2458545.5726929       0.9980590       0.0010923            nan   3339.7051942      3.6549152   3346.2002697
2458545.5935669       1.0008902       0.0010927            nan   3349.2287808      3.6564841   3346.2500305
2458545.6143799       1.0009571       0.0010922            nan   3349.5042658      3.6549129   3346.3015290
2458545.6351929       1.0002960       0.0010920            nan   3347.3439654      3.6541943   3346.3533249
2458545.6560669       1.0001221       0.0010926            nan   3346.8137083      3.6562841   3346.4052010
2458545.6768799       0.9994888       0.0010915            nan   3344.7447488      3.6525454   3346.4555989
2458545.6976929       1.0016268       0.0010928            nan   3351.9478837      3.6570251   3346.5038243
2458545.7185669       0.9994770       0.0010912            nan   3344.7995384      3.6516984   3346.5498676
2458545.7393799       1.0005338       0.0010920            nan   3348.3785929      3.6544357   3346.5921555
2458545.7601929       1.0012370       0.0010927            nan   3350.7707864      3.6569857   3346.6309376
2458545.7810669       1.0001278       0.0010937            nan   3347.0934974      3.6601349   3346.6657734
2458545.8018799       0.9997619       0.0010923            nan   3345.8998203      3.6556797   3346.6968117
2458545.8226929       0.9997339       0.0010920            nan   3345.8338884      3.6545295   3346.7243862
2458545.8435669       0.9996070       0.0010972            nan   3345.4333279      3.6722183   3346.7487278
2458545.8643799       1.0010222       0.0010950            nan   3350.1904083      3.6647835   3346.7694111
2458545.8851929       0.9995934       0.0010916            nan   3345.4261708      3.6532678   3346.7869930
2458545.9060669       0.9982824       0.0010916            nan   3341.0529347      3.6534921   3346.8014145
2458545.9268799       0.9996512       0.0010912            nan   3345.6452159      3.6521254   3346.8125191
