# BJD     Detrended data    Detrended data errors  Airmass   Original data   Original data errors    Model applied 
2458544.9268188       1.0044431       0.0011231            nan   3351.5344471      3.7475905   3336.7089963
2458544.9476929       1.0050648       0.0011213            nan   3353.6086855      3.7413567   3336.7089963
2458544.9685059       1.0038836       0.0011205            nan   3349.6673495      3.7387360   3336.7089963
2458544.9893188       1.0050620       0.0011198            nan   3353.5993481      3.7364873   3336.7089963
2458545.0101929       1.0036496       0.0011194            nan   3348.8866410      3.7352010   3336.7089963
2458545.0310059       1.0044946       0.0011166            nan   3351.7061653      3.7258265   3336.7089963
2458545.0518188       1.0038349       0.0011148            nan   3349.5049526      3.7196421   3336.7089963
2458545.0726929       1.0027388       0.0011188            nan   3345.8474787      3.7329711   3336.7089963
2458545.0935059       1.0032853       0.0011127            nan   3347.6711651      3.7127071   3336.7089963
2458545.1143188       1.0025349       0.0011126            nan   3345.1672965      3.7123244   3336.7089963
2458545.1351929       1.0018964       0.0011109            nan   3343.0368919      3.7068465   3336.7089963
2458545.1560059       1.0014179       0.0011078            nan   3341.4401659      3.6964902   3336.7089963
2458545.1768188       1.0008159       0.0011094            nan   3339.4315202      3.7018159   3336.7089963
2458545.1976929       1.0010666       0.0011062            nan   3340.2678593      3.6911246   3336.7089963
2458545.2185059       1.0000981       0.0011053            nan   3337.0364337      3.6880063   3336.7089963
2458545.2393188       1.0009631       0.0011058            nan   3339.9226567      3.6897656   3336.7089963
2458545.2601929       1.0005224       0.0011086            nan   3338.4520564      3.6989575   3336.7089963
2458545.2810059       1.0030784       0.0011050            nan   3346.9805745      3.6869159   3336.7089963
2458545.3018188       1.0026130       0.0011034            nan   3345.4278975      3.6817302   3336.7089963
2458545.3226929       1.0033074       0.0011020            nan   3347.7449238      3.6769757   3336.7089963
2458545.3435059       1.0023065       0.0011006            nan   3344.4050937      3.6722302   3336.7089963
2458545.3643188       1.0032675       0.0010995            nan   3347.6117457      3.6686698   3336.7089963
2458545.3851929       1.0023076       0.0011002            nan   3344.4088808      3.6711700   3336.7089963
2458545.4060059       0.9999256       0.0011022            nan   3336.4608863      3.6777183   3336.7089963
2458545.4268188       1.0027691       0.0010977            nan   3345.9485979      3.6627683   3336.7089963
2458545.4476929       1.0026422       0.0010967            nan   3345.5251909      3.6592775   3336.7089963
2458545.4685059       1.0049039       0.0010961            nan   3353.0718021      3.6572408   3336.7089963
2458545.4893188       1.0022746       0.0010961            nan   3344.2987382      3.6574129   3336.7089963
2458545.5101929       1.0025110       0.0010963            nan   3345.0875503      3.6581838   3336.7089963
2458545.5310059       1.0019438       0.0010948            nan   3343.1949406      3.6530865   3336.7089963
2458545.5518188       1.0027993       0.0010949            nan   3346.0494051      3.6534857   3336.7089963
2458545.5726929       1.0008980       0.0010954            nan   3339.7051942      3.6549152   3336.7089963
2458545.5935669       1.0037521       0.0010958            nan   3349.2287808      3.6564841   3336.7089963
2458545.6143799       1.0038347       0.0010954            nan   3349.5042658      3.6549129   3336.7089963
2458545.6351929       1.0031873       0.0010951            nan   3347.3439654      3.6541943   3336.7089963
2458545.6560669       1.0030283       0.0010958            nan   3346.8137083      3.6562841   3336.7089963
2458545.6768799       1.0024083       0.0010947            nan   3344.7447488      3.6525454   3336.7089963
2458545.6976929       1.0045670       0.0010960            nan   3351.9478837      3.6570251   3336.7089963
2458545.7185669       1.0024247       0.0010944            nan   3344.7995384      3.6516984   3336.7089963
2458545.7393799       1.0034973       0.0010952            nan   3348.3785929      3.6544357   3336.7089963
2458545.7601929       1.0042143       0.0010960            nan   3350.7707864      3.6569857   3336.7089963
2458545.7810669       1.0031122       0.0010969            nan   3347.0934974      3.6601349   3336.7089963
2458545.8018799       1.0027545       0.0010956            nan   3345.8998203      3.6556797   3336.7089963
2458545.8226929       1.0027347       0.0010952            nan   3345.8338884      3.6545295   3336.7089963
2458545.8435669       1.0026147       0.0011006            nan   3345.4333279      3.6722183   3336.7089963
2458545.8643799       1.0040403       0.0010983            nan   3350.1904083      3.6647835   3336.7089963
2458545.8851929       1.0026125       0.0010949            nan   3345.4261708      3.6532678   3336.7089963
2458545.9060669       1.0013019       0.0010949            nan   3341.0529347      3.6534921   3336.7089963
