# BJD     Detrended data    Detrended data errors  Airmass   Original data   Original data errors    Model applied 
2458653.9499512       0.9997521       0.0011924            nan   3264.9345021      3.8941281   3265.7441373
2458653.9707642       1.0010796       0.0011885            nan   3269.5687534      3.8817883   3266.0428205
2458653.9916382       0.9996131       0.0011892            nan   3265.0790530      3.8842308   3266.3428235
2458654.0124512       1.0002426       0.0011889            nan   3267.4344377      3.8836641   3266.6418500
2458654.0332642       0.9999527       0.0011943            nan   3266.7865362      3.9018370   3266.9411588
2458654.0541382       1.0010726       0.0011918            nan   3270.7467391      3.8937614   3267.2424283
2458654.0749512       0.9992398       0.0011941            nan   3265.0595277      3.9016735   3267.5434461
2458654.0957642       0.9995817       0.0011943            nan   3266.4793501      3.9029246   3267.8461576
2458654.1166382       0.9990119       0.0011987            nan   3264.9222816      3.9176876   3268.1515546
2458654.1374512       0.9991391       0.0012008            nan   3265.6448010      3.9248311   3268.4585004
2458654.1582642       0.9988141       0.0012042            nan   3264.8910104      3.9362667   3268.7674527
2458654.1791382       1.0006663       0.0012090            nan   3271.2564959      3.9524333   3269.0781980
2458654.1999512       1.0022268       0.0012115            nan   3276.6692226      3.9609886   3269.3888364
2458654.2207642       1.0009309       0.0012162            nan   3272.7431550      3.9767527   3269.6993985
2458654.2624512       0.9999173       0.0012247            nan   3270.0520108      4.0051832   3270.3223691
2458654.2832642       1.0009222       0.0012303            nan   3273.6506221      4.0237165   3270.6343198
2458654.3041382       0.9988817       0.0012363            nan   3267.2911467      4.0438476   3270.9490705
2458654.3249512       0.9974040       0.0012323            nan   3262.7728080      4.0312249   3271.2651410
2458654.3457642       0.9984733       0.0012393            nan   3266.5887709      4.0543697   3271.5835309
2458654.3666382       0.9983388       0.0012451            nan   3266.4711013      4.0739900   3271.9062543
2458654.3874512       0.9978886       0.0012430            nan   3265.3214712      4.0673730   3272.2304196
2458654.4082642       0.9989240       0.0012530            nan   3269.0356570      4.1006483   3272.5569043
2458654.4291382       0.9971480       0.0012513            nan   3263.5517895      4.0954359   3272.8859983
2458654.4499512       0.9976300       0.0012534            nan   3265.4562185      4.1025294   3273.2137723
2458654.4707642       0.9978319       0.0012619            nan   3266.4430526      4.1308540   3273.5403791
2458654.4916382       0.9993565       0.0012626            nan   3271.7585187      4.1335979   3273.8653150
2458654.5332642       0.9997049       0.0012701            nan   3273.5343470      4.1588048   3274.5005994
2458654.5541382       1.0005440       0.0012744            nan   3276.5908791      4.1732592   3274.8093686
2458654.5749512       0.9998649       0.0012785            nan   3274.6660275      4.1872619   3275.1085553
2458654.5957642       0.9996339       0.0012820            nan   3274.1994490      4.1992010   3275.3985791
2458654.6166382       1.0001678       0.0012869            nan   3276.2271136      4.2156095   3275.6774411
2458654.6374512       1.0003431       0.0012869            nan   3277.0673674      4.2159365   3275.9432874
2458654.6582642       1.0014589       0.0012912            nan   3280.9734788      4.2300825   3276.1939206
2458654.6791382       1.0007373       0.0012876            nan   3278.8452488      4.2185778   3276.4293790
2458654.6999512       0.9993562       0.0012876            nan   3274.5378996      4.2189151   3276.6474271
2458654.7207642       1.0026152       0.0012896            nan   3285.4178005      4.2258497   3276.8482633
2458654.7416382       1.0003351       0.0012945            nan   3278.1296316      4.2420470   3277.0315366
2458654.7624512       1.0006018       0.0012920            nan   3279.1684820      4.2342675   3277.1963239
2458654.7832642       1.0019080       0.0012944            nan   3283.5968280      4.2420437   3277.3437085
2458654.8041382       1.0011349       0.0012960            nan   3281.1947368      4.2476321   3277.4749951
2458654.8249512       0.9995626       0.0012928            nan   3276.1562854      4.2373275   3277.5897412
2458654.8457642       0.9982372       0.0012912            nan   3271.9129658      4.2320059   3277.6909146
2458654.8666382       1.0008418       0.0012920            nan   3280.5392999      4.2349368   3277.7799573
2458654.8874512       0.9992836       0.0012887            nan   3275.5087436      4.2242013   3277.8571134
2458654.9082642       0.9985967       0.0012898            nan   3273.3246179      4.2279883   3277.9246335
2458654.9291382       1.0005711       0.0012861            nan   3279.8549565      4.2157711   3277.9828687
2458654.9499512       0.9996497       0.0012836            nan   3276.8840692      4.2077719   3278.0324750
2458654.9707642       0.9985524       0.0012873            nan   3273.3289111      4.2199181   3278.0743299
2458654.9916382       0.9991982       0.0012866            nan   3275.4794186      4.2176995   3278.1078382
2458655.0124512       0.9997831       0.0012861            nan   3277.4231111      4.2158740   3278.1342511
2458655.0332642       0.9985052       0.0012847            nan   3273.2521033      4.2115030   3278.1521726
2458655.0541382       1.0009008       0.0012929            nan   3281.1154918      4.2381870   3278.1624494
2458655.0749512       1.0010619       0.0012875            nan   3281.6437994      4.2206273   3278.1626401
2458655.0957642       1.0012635       0.0012886            nan   3282.2950068      4.2243262   3278.1532102
2458655.1166382       0.9978318       0.0012916            nan   3271.0255446      4.2340827   3278.1330991
2458655.1374512       1.0011477       0.0012911            nan   3281.8652620      4.2324937   3278.1030774
2458655.1582642       1.0005448       0.0012922            nan   3279.8486345      4.2359429   3278.0627637
2458655.1791382       1.0021577       0.0012940            nan   3285.0860421      4.2418295   3278.0130734
2458655.1999512       0.9983816       0.0012911            nan   3272.6500292      4.2323275   3277.9549909
2458655.2207642       1.0013596       0.0012925            nan   3282.3469492      4.2367114   3277.8903318
2458655.2416382       1.0010340       0.0012905            nan   3281.2093742      4.2300163   3277.8201413
2458655.2624512       0.9993116       0.0012888            nan   3275.4895048      4.2243276   3277.7459531
2458655.2832642       0.9967146       0.0012874            nan   3266.9015385      4.2197090   3277.6701093
2458655.3041382       1.0006532       0.0012901            nan   3279.7345401      4.2284016   3277.5936780
2458655.3249512       0.9981733       0.0012904            nan   3271.5319656      4.2292425   3277.5190244
2458655.3457642       0.9991000       0.0012874            nan   3274.4979964      4.2194359   3277.4478498
2458655.3666382       0.9983675       0.0012919            nan   3272.0307764      4.2339976   3277.3812604
2458655.3874512       0.9998481       0.0012876            nan   3276.8231463      4.2198468   3277.3209119
2458655.4082642       0.9984817       0.0012887            nan   3272.2907877      4.2233425   3277.2666822
2458655.4291382       0.9995902       0.0012906            nan   3275.8754641      4.2297175   3277.2185636
2458655.4499512       0.9988714       0.0012903            nan   3273.4777817      4.2284973   3277.1765256
2458655.4707642       0.9998105       0.0012906            nan   3276.5194005      4.2296019   3277.1405606
2458655.4916382       0.9985968       0.0012925            nan   3272.5101019      4.2357263   3277.1083798
2458655.5124512       1.0011679       0.0012948            nan   3280.9076895      4.2430276   3277.0803495
2458655.5332642       0.9984977       0.0012963            nan   3272.1309490      4.2481600   3277.0541425
2458655.5541382       1.0004955       0.0013031            nan   3278.6520717      4.2702371   3277.0283094
2458655.5749512       1.0015685       0.0013027            nan   3282.1419777      4.2689398   3277.0019116
2458655.5957642       1.0005543       0.0013015            nan   3278.7908421      4.2651132   3276.9743161
2458655.6166382       0.9995828       0.0013022            nan   3275.5752101      4.2672016   3276.9425092
2458655.6374512       0.9996312       0.0012999            nan   3275.6985313      4.2596071   3276.9070172
2458655.6582642       0.9995157       0.0013003            nan   3275.2797161      4.2607830   3276.8666577
2458655.6791382       0.9996465       0.0012998            nan   3275.6621275      4.2590841   3276.8204389
2458655.6999512       1.0009413       0.0012991            nan   3279.8517047      4.2569730   3276.7672925
2458655.7207642       0.9993037       0.0012979            nan   3274.4245514      4.2529538   3276.7061124
2458655.7416382       0.9974457       0.0012974            nan   3268.2659162      4.2512503   3276.6353192
2458655.7625122       1.0022126       0.0012990            nan   3283.8038028      4.2562202   3276.5540662
2458655.7833252       0.9979377       0.0012967            nan   3269.7047058      4.2485270   3276.4618421
2458655.8041382       0.9990305       0.0012959            nan   3273.1811133      4.2457710   3276.3575482
2458655.8250122       1.0026744       0.0012962            nan   3285.0019995      4.2467213   3276.2400327
2458655.8458252       1.0021632       0.0012956            nan   3283.1972141      4.2446867   3276.1102262
2458655.8666382       0.9995312       0.0012917            nan   3274.4319212      4.2316619   3275.9676099
2458655.8875122       0.9989135       0.0012909            nan   3272.2538039      4.2287860   3275.8130841
2458655.9083252       0.9984320       0.0012895            nan   3270.5119130      4.2241048   3275.6482740
2458655.9291382       1.0033925       0.0012855            nan   3286.5852154      4.2105584   3275.4732022
2458655.9500122       1.0003558       0.0012826            nan   3276.4529306      4.2008971   3275.2877393
2458655.9708252       0.9995497       0.0012828            nan   3273.6195161      4.2013051   3275.0942121
2458655.9916382       0.9972647       0.0012781            nan   3265.9349741      4.1855324   3274.8927274
2458656.0125122       0.9992905       0.0012771            nan   3272.3613174      4.1821813   3274.6847959
2458656.0333252       1.0000482       0.0012792            nan   3274.6302921      4.1888333   3274.4723859
2458656.0541382       0.9991636       0.0012743            nan   3271.5171870      4.1723238   3274.2556806
2458656.0750122       1.0022526       0.0012771            nan   3281.4107937      4.1811087   3274.0358319
2458656.0958252       1.0002398       0.0012751            nan   3274.5992586      4.1744365   3273.8140683
2458656.1166382       0.9996575       0.0012771            nan   3272.4700149      4.1806959   3273.5913510
2458656.1375122       0.9992590       0.0012755            nan   3270.9432512      4.1750616   3273.3688550
