# BJD     Detrended data    Detrended data errors  Airmass   Original data   Original data errors    Model applied 
2458468.2813110       1.0041928       0.0015876            nan   3276.7438630      5.1804043   3263.0623686
2458468.3021240       1.0055970       0.0015879            nan   3281.3258787      5.1814738   3263.0623686
2458468.3438110       1.0049678       0.0015884            nan   3279.2727044      5.1830497   3263.0623686
2458468.3646240       1.0039572       0.0015873            nan   3275.9749781      5.1793829   3263.0623686
2458468.4063110       1.0046217       0.0015872            nan   3278.1433111      5.1792773   3263.0623686
2458468.4271240       1.0040000       0.0015877            nan   3276.1145757      5.1806290   3263.0623686
2458468.4479370       1.0054802       0.0015958            nan   3280.9444888      5.2071768   3263.0623686
2458468.4688110       1.0028119       0.0015888            nan   3272.2376416      5.1844313   3263.0623686
2458468.4896240       1.0051299       0.0015894            nan   3279.8014427      5.1862016   3263.0623686
2458468.5104370       1.0032352       0.0015871            nan   3273.6191841      5.1787365   3263.0623686
2458468.5313110       1.0055973       0.0015881            nan   3281.3268347      5.1821667   3263.0623686
2458468.5521240       1.0047421       0.0015871            nan   3278.5362331      5.1788141   3263.0623686
2458468.5729370       1.0019566       0.0015911            nan   3269.4469344      5.1919810   3263.0623686
2458468.5938110       1.0040116       0.0015890            nan   3276.1523651      5.1849492   3263.0623686
2458468.6146240       1.0041058       0.0015886            nan   3276.4596902      5.1838238   3263.0623686
2458468.6354370       1.0043817       0.0015981            nan   3277.3600450      5.2147343   3263.0623686
2458468.6563110       1.0039712       0.0015910            nan   3276.0207191      5.1916513   3263.0623686
2458468.6771240       1.0048935       0.0015864            nan   3279.0303082      5.1765030   3263.0623686
2458468.6979370       1.0042935       0.0015879            nan   3277.0724604      5.1813937   3263.0623686
2458468.7188110       1.0054813       0.0015874            nan   3280.9480428      5.1796579   3263.0623686
2458468.7396240       1.0039257       0.0015890            nan   3275.8721842      5.1848911   3263.0623686
2458468.7604370       1.0040680       0.0015872            nan   3276.3365295      5.1792130   3263.0623686
2458468.7813110       1.0040952       0.0015911            nan   3276.4251219      5.1919138   3263.0623686
2458468.8021240       1.0033466       0.0015863            nan   3273.9825159      5.1762160   3263.0623686
2458468.8229370       1.0064385       0.0015880            nan   3284.0714409      5.1817013   3263.0623686
2458468.8438110       1.0015723       0.0015866            nan   3268.1928643      5.1772402   3263.0623686
2458468.8646240       1.0032137       0.0015882            nan   3273.5489325      5.1823941   3263.0623686
2458468.8854370       1.0026598       0.0015888            nan   3271.7413014      5.1844140   3263.0623686
2458468.9063110       1.0039112       0.0015896            nan   3275.8247064      5.1870884   3263.0623686
2458468.9271240       1.0038683       0.0015890            nan   3275.6850326      5.1850243   3263.0623686
2458468.9479370       1.0057967       0.0015871            nan   3281.9775055      5.1786805   3263.0623686
2458468.9688110       1.0030558       0.0015880            nan   3273.0336657      5.1819017   3263.0623686
2458468.9896240       1.0037045       0.0015891            nan   3275.1503378      5.1852979   3263.0623686
2458469.0104370       1.0019932       0.0015903            nan   3269.5661515      5.1893175   3263.0623686
2458469.0313110       1.0056536       0.0015871            nan   3281.5104538      5.1787413   3263.0623686
2458469.0521240       1.0054159       0.0015881            nan   3280.7349395      5.1819646   3263.0623686
2458469.0729370       1.0044400       0.0015888            nan   3277.5502700      5.1843787   3263.0623686
2458469.0938110       1.0034868       0.0015900            nan   3274.4401112      5.1883254   3263.0623686
2458469.1146240       1.0036517       0.0015866            nan   3274.9779331      5.1770135   3263.0623686
2458469.1354370       1.0025649       0.0015876            nan   3271.4318887      5.1803865   3263.0623686
2458469.1563110       1.0014736       0.0015865            nan   3267.8708425      5.1768908   3263.0623686
2458469.1771240       1.0037816       0.0015898            nan   3275.4018178      5.1876032   3263.0623686
2458469.1979370       1.0036268       0.0015863            nan   3274.8968753      5.1761635   3263.0623686
